# U  arc  E1  E2  E3  E4
0.0000  9.788848  -2.99628405  -2.99628405  2.99628405  2.99628405
0.0000  9.819332  -2.99790949  -2.99790949  2.99790949  2.99790949
0.0000  9.849816  -2.99907080  -2.99907080  2.99907080  2.99907080
0.0000  9.880300  -2.99976769  -2.99976769  2.99976769  2.99976769
0.0000  9.910784  -3.00000000  -3.00000000  3.00000000  3.00000000
1.0000  0.000000  -2.50000000  -2.50000000  3.50000000  3.50000000
1.0000  0.035200  -2.49969025  -2.49969025  3.49969025  3.49969025
1.0000  0.070400  -2.49876109  -2.49876109  3.49876109  3.49876109
1.0000  0.105600  -2.49721282  -2.49721282  3.49721282  3.49721282
1.0000  0.140800  -2.49504591  -2.49504591  3.49504591  3.49504591
1.0000  0.176000  -2.49226103  -2.49226103  3.49226103  3.49226103
1.0000  0.211200  -2.48885905  -2.48885905  3.48885905  3.48885905
1.0000  0.246399  -2.48484102  -2.48484102  3.48484102  3.48484102
1.0000  0.281599  -2.48020818  -2.48020818  3.48020818  3.48020818
1.0000  0.316799  -2.47496197  -2.47496197  3.47496197  3.47496197
1.0000  0.351999  -2.46910402  -2.46910402  3.46910402  3.46910402
1.0000  0.387199  -2.46263614  -2.46263614  3.46263614  3.46263614
1.0000  0.422399  -2.45556032  -2.45556032  3.45556032  3.45556032
1.0000  0.457599  -2.44787878  -2.44787878  3.44787878  3.44787878
1.0000  0.492799  -2.43959387  -2.43959387  3.43959387  3.43959387
1.0000  0.527999  -2.43070818  -2.43070818  3.43070818  3.43070818
1.0000  0.563199  -2.42122444  -2.42122444  3.42122444  3.42122444
1.0000  0.598399  -2.41114561  -2.41114561  3.41114561  3.41114561
1.0000  0.633599  -2.40047480  -2.40047480  3.40047480  3.40047480
1.0000  0.668798  -2.38921532  -2.38921532  3.38921532  3.38921532
1.0000  0.703998  -2.37737065  -2.37737065  3.37737065  3.37737065
1.0000  0.739198  -2.36494446  -2.36494446  3.36494446  3.36494446
1.0000  0.774398  -2.35194060  -2.35194060  3.35194060  3.35194060
1.0000  0.809598  -2.33836311  -2.33836311  3.33836311  3.33836311
1.0000  0.844798  -2.32421618  -2.32421618  3.32421618  3.32421618
1.0000  0.879998  -2.30950420  -2.30950420  3.30950420  3.30950420
1.0000  0.915198  -2.29423173  -2.29423173  3.29423173  3.29423173
