# U  arc  E1  E2  E3  E4
0.0000  8.782875  -2.69048640  -2.69048640  2.69048640  2.69048640
0.0000  8.813359  -2.70655469  -2.70655469  2.70655469  2.70655469
0.0000  8.843843  -2.72223050  -2.72223050  2.72223050  2.72223050
0.0000  8.874327  -2.73750973  -2.73750973  2.73750973  2.73750973
0.0000  8.904811  -2.75238844  -2.75238844  2.75238844  2.75238844
0.0000  8.935295  -2.76686278  -2.76686278  2.76686278  2.76686278
0.0000  8.965779  -2.78092908  -2.78092908  2.78092908  2.78092908
0.0000  8.996263  -2.79458375  -2.79458375  2.79458375  2.79458375
0.0000  9.026747  -2.80782336  -2.80782336  2.80782336  2.80782336
0.0000  9.057231  -2.82064459  -2.82064459  2.82064459  2.82064459
0.0000  9.087715  -2.83304424  -2.83304424  2.83304424  2.83304424
0.0000  9.118199  -2.84501924  -2.84501924  2.84501924  2.84501924
0.0000  9.148683  -2.85656663  -2.85656663  2.85656663  2.85656663
0.0000  9.179167  -2.86768358  -2.86768358  2.86768358  2.86768358
0.0000  9.209652  -2.87836737  -2.87836737  2.87836737  2.87836737
0.0000  9.240136  -2.88861541  -2.88861541  2.88861541  2.88861541
0.0000  9.270620  -2.89842521  -2.89842521  2.89842521  2.89842521
0.0000  9.301104  -2.90779440  -2.90779440  2.90779440  2.90779440
0.0000  9.331588  -2.91672073  -2.91672073  2.91672073  2.91672073
0.0000  9.362072  -2.92520206  -2.92520206  2.92520206  2.92520206
0.0000  9.392556  -2.93323636  -2.93323636  2.93323636  2.93323636
0.0000  9.423040  -2.94082173  -2.94082173  2.94082173  2.94082173
0.0000  9.453524  -2.94795636  -2.94795636  2.94795636  2.94795636
0.0000  9.484008  -2.95463855  -2.95463855  2.95463855  2.95463855
0.0000  9.514492  -2.96086674  -2.96086674  2.96086674  2.96086674
0.0000  9.544976  -2.96663945  -2.96663945  2.96663945  2.96663945
0.0000  9.575460  -2.97195533  -2.97195533  2.97195533  2.97195533
0.0000  9.605944  -2.97681313  -2.97681313  2.97681313  2.97681313
0.0000  9.636428  -2.98121170  -2.98121170  2.98121170  2.98121170
0.0000  9.666912  -2.98515002  -2.98515002  2.98515002  2.98515002
0.0000  9.697396  -2.98862718  -2.98862718  2.98862718  2.98862718
0.0000  9.727880  -2.99164235  -2.99164235  2.99164235  2.99164235
0.0000  9.758364  -2.99419484  -2.99419484  2.99419484  2.99419484
